batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values819
D Shorey,8,0,1,0,0,20,16,80,0,0.123352666
DS Kulkarni,5.315789474,7,2,0,0,111,101,90.99099099,0,0.123226812
Mohammad Hafeez,8,7,2,0,0,84,64,76.19047619,0,0.121955865
UT Yadav,3.848484848,12,4,0,0,133,127,95.4887218,0,0.121644083
S Chanderpaul,8.333333333,4,0,0,0,33,25,75.75757576,0,0.121452438
Mohammed Siraj,5.666666667,2,1,0,0,38,34,89.47368421,0,0.121062275
Mohammed Shami,3.375,5,2,0,0,54,54,100,0,0.120449094
DE Bollinger,5.25,1,1,0,0,23,21,91.30434783,0,0.120214885
A Chopra,8.833333333,7,0,0,0,75,53,70.66666667,0,0.120172599
CA Ingram,7,3,0,0,0,26,21,80.76923077,0,0.119092944
VS Malik,3.5,1,0,0,0,7,7,100,0,0.11899568
T Curran,6,3,0,0,0,28,24,85.71428571,0,0.118760828
SS Shaikh,6,1,0,0,0,7,6,85.71428571,0,0.118046264
Kuldeep Yadav,5.75,4,0,0,0,55,46,83.63636364,0,0.116022337
JJ Bumrah,3.7,2,1,0,0,39,37,94.87179487,0,0.116014646
MM Patel,3.25,5,0,0,0,41,39,95.12195122,0,0.114099674
SW Tait,4.6,1,1,0,0,26,23,88.46153846,0,0.11395091
SL Malinga,4.4,6,5,0,0,103,88,85.4368932,0,0.113060418
Harpreet Singh,6.666666667,0,0,0,0,26,20,76.92307692,0,0.11302243
WA Mota,7,3,0,0,0,76,56,73.68421053,0,0.112889547
X Thalaivan Sargunam,10,0,0,0,0,17,10,58.82352941,0,0.112502369
Basil Thampi,4.571428571,1,1,0,0,37,32,86.48648649,0,0.112041113
Z Khan,4.333333333,11,2,0,0,141,117,82.9787234,0,0.11097045
RG More,2,0,0,0,0,2,2,100,0,0.110725317
VS Yeligati,2,0,0,0,0,2,2,100,0,0.110725317
Mashrafe Mortaza,2,0,0,0,0,2,2,100,0,0.110725317
CK Langeveldt,4,0,1,0,0,9,8,88.88888889,0,0.110674555
S Mavi,4.333333333,1,0,0,0,15,13,86.66666667,0,0.110262335
WD Parnell,5.25,5,1,0,0,80,63,78.75,0,0.10927134
K Paul,4.4,1,1,0,0,26,22,84.61538462,0,0.109017977
R Shukla,4.75,2,0,0,0,23,19,82.60869565,0,0.108720345
Parvez Rasool,4.25,1,0,0,0,20,17,85,0,0.108247875
Vishnu Vinod,6.333333333,1,1,0,0,26,19,73.07692308,0,0.107751943
M Rawat,5,4,1,0,0,70,55,78.57142857,0,0.107420794
I Sharma,3.055555556,4,2,0,0,62,55,88.70967742,0,0.107366968
R Sharma,3.473684211,5,3,0,0,77,66,85.71428571,0,0.107253554
SJ Srivastava,1.25,0,0,0,0,5,5,100,0,0.106788366
AN Ghosh,3.5,1,0,0,0,8,7,87.5,0,0.106500431
MS Wade,7.333333333,0,0,0,0,33,22,66.66666667,0,0.106397333
VR Aaron,4.9,2,2,0,0,63,49,77.77777778,0,0.105898651
NJ Rimmington,1,0,0,0,0,1,1,100,0,0.105360283
DP Vijaykumar,1,0,0,0,0,1,1,100,0,0.105360283
LH Ferguson,1,0,0,0,0,1,1,100,0,0.105360283
Anureet Singh,4.625,2,1,0,0,47,37,78.72340426,0,0.104845499
TA Boult,3,0,1,0,0,14,12,85.71428571,0,0.102255436
BA Bhatt,3,0,1,0,0,7,6,85.71428571,0,0.102111765
A Dananjaya,4,0,0,0,0,5,4,80,0,0.101460134
T Henderson,5.5,0,1,0,0,16,11,68.75,0,0.098636949
H Viljoen,2,1,0,0,0,7,6,85.71428571,0,0.096678743
CJ McKay,8,0,0,0,0,15,8,53.33333333,0,0.096282106
CK Kapugedera,5.333333333,0,0,0,0,24,16,66.66666667,0,0.095560401
S Tyagi,3,0,0,0,0,4,3,75,0,0.091095101
GD McGrath,2,1,0,0,0,5,4,80,0,0.090918151
FH Edwards,2,0,0,0,0,5,4,80,0,0.090776374
J Theron,2.5,1,0,0,0,13,10,76.92307692,0,0.090660588
Ankit Soni,2.333333333,0,1,0,0,9,7,77.77777778,0,0.090641908
Imran Tahir,2.857142857,3,0,0,0,27,20,74.07407407,0,0.090253489
N Naik,8,1,0,0,0,17,8,47.05882353,0,0.090158874
AG Murtaza,3.333333333,1,0,0,0,14,10,71.42857143,0,0.0896224
SM Harwood,4.5,0,0,0,0,14,9,64.28571429,0,0.088551557
L Balaji,2.769230769,2,1,0,0,50,36,72,0,0.088204647
M Ntini,5.5,2,0,0,0,19,11,57.89473684,0,0.087846572
TS Mills,2.666666667,0,1,0,0,11,8,72.72727273,0,0.087399933
BB Sran,1.571428571,0,0,0,0,14,11,78.57142857,0,0.087229999
TM Srivastava,2.666666667,0,0,0,0,11,8,72.72727273,0,0.087167014
Karanveer Singh,3,1,0,0,0,17,12,70.58823529,0,0.087052495
SK Trivedi,3,3,1,0,0,61,42,68.85245902,0,0.086594297
A Kumble,2.333333333,4,0,0,0,49,35,71.42857143,0,0.085332188
UA Birla,7,1,0,0,0,15,7,46.66666667,0,0.084396933
Jaskaran Singh,2,0,0,0,0,11,8,72.72727273,0,0.083605761
JE Taylor,1.5,0,0,0,0,4,3,75,0,0.08308228
I Sodhi,5,0,1,0,0,18,10,55.55555556,0,0.082762663
PSP Handscomb,6,0,0,0,0,12,6,50,0,0.082213954
Swapnil Singh,4,0,0,0,0,20,12,60,0,0.081678614
A Nehra,2.411764706,3,1,0,0,63,41,65.07936508,0,0.079670019
T Thushara,3,0,0,0,0,19,12,63.15789474,0,0.079489878
M Muralitharan,2.222222222,1,0,0,0,30,20,66.66666667,0,0.079185109
RP Singh,1.857142857,2,1,0,0,78,52,66.66666667,0,0.078426508
AS Rajpoot,3.6,2,0,0,0,31,18,58.06451613,0,0.078052605
S Sreesanth,2.833333333,7,0,0,0,57,34,59.64912281,0,0.076668612
A Zampa,2.5,1,0,0,0,8,5,62.5,0,0.076121745
Kamran Khan,3,0,0,0,0,5,3,60,0,0.076099851
M Wood,3,0,0,0,0,5,3,60,0,0.076099851
Sandeep Sharma,1.857142857,1,0,0,0,40,26,65,0,0.075726154
T Kohli,3.666666667,0,1,0,0,20,11,55,0,0.075112504
SMSM Senanayake,2.5,0,0,0,0,17,10,58.82352941,0,0.072438266
SB Wagh,1,0,0,0,0,3,2,66.66666667,0,0.072054853
PJ Sangwan,1.923076923,1,0,0,0,41,25,60.97560976,0,0.072040324
AF Milne,2.333333333,0,0,0,0,12,7,58.33333333,0,0.070978796
VY Mahesh,3,0,0,0,0,28,15,53.57142857,0,0.070001375
CJ Jordan,1.5,0,0,0,0,5,3,60,0,0.068087031
A Chandila,2,0,0,0,0,7,4,57.14285714,0,0.067928732
A Uniyal,2,0,0,0,0,7,4,57.14285714,0,0.067928732
S Badree,2.6,0,0,0,0,25,13,52,0,0.066242138
J Yadav,3,0,0,0,0,12,6,50,0,0.066188313
R Ninan,3,0,0,0,0,6,3,50,0,0.066104602
R Bhui,4,0,0,0,0,18,8,44.44444444,0,0.066039947
Pankaj Singh,1.4,0,0,0,0,12,7,58.33333333,0,0.065993041
PV Tambe,3,1,0,0,0,39,18,46.15384615,0,0.062833034
AB Dinda,1.625,2,0,0,0,50,26,52,0,0.061675357
TD Paine,5,0,0,0,0,29,10,34.48275862,0,0.061509203
H Vihari,2,0,0,0,0,8,4,50,0,0.060790625
S Randiv,2,0,0,0,0,4,2,50,0,0.060734818
Younis Khan,3,0,0,0,0,7,3,42.85714286,0,0.058966495
Mohammad Asif,1.5,0,0,0,0,6,3,50,0,0.058091781
BAW Mendis,1,0,0,0,0,6,3,50,0,0.055420841
PM Sarvesh Kumar,1,0,0,0,0,2,1,50,0,0.055365034
SE Bond,1,0,0,0,0,2,1,50,0,0.055365034
M de Lange,1,0,0,0,0,2,1,50,0,0.055365034
YS Chahal,1.833333333,0,0,0,0,49,22,44.89795918,0,0.055324293
M Ashwin,0.8,0,0,0,0,8,4,50,0,0.054380369
SB Joshi,3,0,0,0,0,16,6,37.5,0,0.053707316
D Kalyankrishna,3,0,0,0,0,8,3,37.5,0,0.053614103
KP Appanna,0.666666667,0,0,0,0,4,2,50,0,0.053612311
S Kaul,1.714285714,0,0,0,0,28,12,42.85714286,0,0.05236375
S Nadeem,1.882352941,1,0,0,0,79,32,40.50632911,0,0.051662841
H Das,2,0,0,0,0,5,2,40,0,0.050739568
B Laughlin,1.25,0,0,0,0,13,5,38.46153846,0,0.045287909
A Turner,1,0,0,0,0,11,4,36.36363636,0,0.041826633
DP Nannes,2,0,0,0,0,13,4,30.76923077,0,0.041583609
P Awana,1,0,0,0,0,14,5,35.71428571,0,0.041209937
PP Ojha,0.842105263,0,0,0,0,45,16,35.55555556,0,0.04055745
Mustafizur Rahman,1,0,0,0,0,3,1,33.33333333,0,0.038703118
DJ Muthuswami,1,0,0,0,0,3,1,33.33333333,0,0.038703118
P Parameswaran,0.5,0,0,0,0,3,1,33.33333333,0,0.036032177
BE Hendricks,0.5,0,0,0,0,3,1,33.33333333,0,0.036032177
L Plunkett,0.5,0,0,0,0,3,1,33.33333333,0,0.036032177
Shoaib Akhtar,2,0,0,0,0,8,2,25,0,0.03575382
RS Gavaskar,2,0,0,0,0,8,2,25,0,0.03575382
Mohammad Ashraful,2,0,0,0,0,12,2,16.66666667,0,0.027439489
H Gurney,1,0,0,0,0,5,1,20,0,0.025379285
A Singh,0.4,0,0,0,0,10,2,20,0,0.022216313
Shoaib Ahmed,0.333333333,0,0,0,0,6,1,16.66666667,0,0.018489449
P Krishna,0.5,0,0,0,0,7,1,14.28571429,0,0.017003561
ND Doshi,0,0,0,0,0,13,0,0,0,5.70E-05
S Ladda,0,0,0,0,0,10,0,0,0,4.28E-05
RR Bhatkal,0,0,0,0,0,2,0,0,0,4.75E-06
L Ablish,0,0,0,0,0,2,0,0,0,4.75E-06
Abdur Razzak,0,0,0,0,0,2,0,0,0,4.75E-06
IC Pandey,0,0,0,0,0,2,0,0,0,4.75E-06
S Kaushik,0,0,0,0,0,1,0,0,0,0
K Ahmed,0,0,0,0,0,1,0,0,0,0
S Lamichhane,0,0,0,0,0,1,0,0,0,0
YA Abdulla,0,0,0,0,0,1,0,0,0,0
U Kaul,0,0,0,0,0,1,0,0,0,0
V Pratap Singh,0,0,0,0,0,1,0,0,0,0
Sunny Gupta,0,0,0,0,0,1,0,0,0,0
P Raj,0,0,0,0,0,1,0,0,0,0
C Nanda,0,0,0,0,0,1,0,0,0,0
J Denly,0,0,0,0,0,1,0,0,0,0
