Player,total_overs,avg_economy,wickets,avg.runs,batsman_runs,strike
SD Chitnis,6.0,10.3333333333333,2.0,12.375,99.0,107.608695652173
SE Bond,31.0,7.25806451612903,9.0,1.0,1.0,50.0
SJ Srivastava,47.0,9.4468085106383,15.0,1.25,5.0,100.0
SK Raina,155.0,7.34838709677419,30.0,28.6507936507936,5415.0,133.902077151335
SK Trivedi,252.0,7.71428571428571,73.0,3.0,42.0,68.8524590163934
SK Warne,199.0,7.36180904522612,60.0,7.33333333333333,198.0,90.4109589041095
SL Malinga,478.0,7.34518828451882,188.0,4.4,88.0,85.4368932038834
SM Boland,7.0,8.0,3.0,,,
SM Harwood,10.0,7.4,3.0,4.5,9.0,64.2857142857142
SM Pollock,46.0,6.67391304347826,13.0,18.375,147.0,126.724137931034
SMSM Senanayake,32.0,6.59375,9.0,2.5,10.0,58.8235294117647
SN Khan,1.0,6.0,0.0,18.9090909090909,416.0,142.955326460481
SN Thakur,119.0,9.30252100840336,40.0,5.14285714285714,36.0,171.428571428571
SP Narine,429.0,6.85081585081585,137.0,14.8703703703703,803.0,166.943866943866
SPD Smith,1.0,5.0,0.0,28.4305555555555,2047.0,126.670792079207
SR Tendulkar,6.0,9.83333333333333,0.0,29.9230769230769,2334.0,114.187866927592
SR Watson,341.0,8.0674486803519,107.0,27.8,3614.0,136.945812807881
SS Agarwal,4.0,10.5,1.0,,,
SS Mundhe,1.0,6.0,1.0,,,
SS Sarkar,5.0,6.8,1.0,,,
ST Jayasuriya,49.0,8.08163265306122,16.0,25.6,768.0,134.031413612565
STR Binny,99.0,7.74747474747474,28.0,13.3636363636363,882.0,126.0
SW Tait,81.0,8.24691358024691,26.0,4.6,23.0,88.4615384615384
Sachin Baby,2.0,4.0,3.0,13.7,137.0,129.245283018867
Sandeep Sharma,249.0,7.89959839357429,90.0,1.85714285714285,26.0,65.0
Shahid Afridi,30.0,7.9,9.0,9.0,81.0,176.086956521739
Shakib Al Hasan,224.0,7.52232142857142,66.0,16.5,759.0,123.414634146341
Shivam Sharma,19.0,8.68421052631579,4.0,2.5,5.0,166.666666666666
Shoaib Ahmed,17.0,9.05882352941176,5.0,0.333333333333333,1.0,16.6666666666666
Shoaib Akhtar,7.0,7.71428571428571,5.0,2.0,2.0,25.0
Shoaib Malik,9.0,9.66666666666666,2.0,10.4,52.0,106.122448979591
Sohail Tanvir,42.0,6.54761904761904,24.0,7.2,36.0,116.129032258064
Sunny Gupta,3.0,15.6666666666666,0.0,0.0,0.0,0.0
Swapnil Singh,10.0,9.0,1.0,4.0,12.0,60.0
T Curran,11.0,11.0,6.0,6.0,24.0,85.7142857142857
T Henderson,6.0,6.83333333333333,1.0,5.5,11.0,68.75
