Player,total_overs,avg_economy,wickets,avg.runs,batsman_runs,strike,rpw
JP Faulkner,209,8.846889952,76,11.71111111,527,129.8029557,6.934210526
R Tewatia,50,7.22,16,9.916666667,119,127.9569892,7.4375
D Wiese,47,8.70212766,17,15.875,127,135.106383,7.470588235
R Dhawan,82,7.987804878,20,9.5625,153,113.3333333,7.65
CJ McKay,7,8.571428571,1,8,8,53.33333333,8
JDP Oram,40,9.05,13,9.636363636,106,96.36363636,8.153846154
SB Bangar,25,8.84,6,7,49,84.48275862,8.166666667
RV Gomez,16,8.125,6,5.555555556,50,94.33962264,8.333333333
Bipul Sharma,72,8.069444444,22,11,187,150.8064516,8.5
S Curran,34,9.882352941,11,11.875,95,172.7272727,8.636363636
JM Kemp,9,6.444444444,3,13,26,104,8.666666667
M Santner,14,7.5,4,17.5,35,140,8.75
AB McDonald,31,8.483870968,14,13.66666667,123,119.4174757,8.785714286
DJ Bravo,437,8.542334096,168,15.13131313,1498,125.5658005,8.916666667
AA Noffke,4,10.25,1,9,9,75,9
Shahid Afridi,30,7.9,9,9,81,176.0869565,9
P Negi,121,7.925619835,38,10.45714286,366,121.5946844,9.631578947
JA Morkel,288,8.364583333,96,14.55223881,975,136.9382022,10.15625
AR Patel,286,7.632867133,76,13,806,123.0534351,10.60526316
RJ Peterson,8,8.75,3,6.4,32,100,10.66666667
B Akhil,32,7.6875,7,6.909090909,76,133.3333333,10.85714286
T Henderson,6,6.833333333,1,5.5,11,68.75,11
MR Marsh,54,7.777777778,20,16.07142857,225,111.9402985,11.25
SM Pollock,46,6.673913043,13,18.375,147,126.7241379,11.30769231
R McLaren,59,9.457627119,14,12.23076923,159,89.3258427,11.35714286
NLTC Perera,119,8.663865546,37,14.13333333,424,130.0613497,11.45945946
Shakib Al Hasan,224,7.522321429,66,16.5,759,123.4146341,11.5
IK Pathan,345,7.857971014,99,14.02439024,1150,116.751269,11.61616162
CR Brathwaite,44,8.909090909,16,13.42857143,188,156.6666667,11.75
N Saini,48,9.041666667,12,11.91666667,143,97.27891156,11.91666667
Swapnil Singh,10,9,1,4,12,60,12
MA Khote,5,10.4,2,8,24,109.0909091,12
K Gowtham,60,8.533333333,12,8.705882353,148,172.0930233,12.33333333
DT Christian,131,8.145038168,36,13.17647059,448,116.6666667,12.44444444
Azhar Mahmood,91,7.769230769,31,18.47619048,388,124.7588424,12.51612903
Ankit Sharma,64,7.421875,13,10.25,164,143.8596491,12.61538462
DJ Thornely,7,5.714285714,3,9.75,39,72.22222222,13
Mohammad Nabi,46,6.826086957,11,14.6,146,153.6842105,13.27272727
WA Mota,12,8.166666667,4,7,56,73.68421053,14
SB Styris,36,7.722222222,9,13.1,131,97.76119403,14.55555556
A Ashish Reddy,45,8.888888889,19,12.17391304,280,142.8571429,14.73684211
GR Napier,4,7,1,15,15,93.75,15
J Botha,116,7.051724138,27,14.60714286,409,112.3626374,15.14814815
MN Samuels,36,7.916666667,10,11.5,161,92.52873563,16.1
RA Jadeja,420,7.669047619,116,15.608,1951,119.5465686,16.81896552
BCJ Cutting,48,9.041666667,12,14.11764706,240,164.3835616,20
DJG Sammy,40,8.85,14,14.75,295,117.5298805,21.07142857
KH Pandya,159,7.289308176,42,19.89130435,915,144.0944882,21.78571429
BA Stokes,98,8.846938776,29,20.21875,647,131.2373225,22.31034483
BMAJ Mendis,5,7.2,1,7.666666667,23,85.18518519,23
MC Henriques,151,8.311258278,42,19.38,969,126.0078023,23.07142857
LR Shukla,54,8.481481481,17,12.27272727,405,113.1284916,23.82352941
M Ali,39,6.974358974,13,22.21428571,311,169.9453552,23.92307692
AD Russell,175,9.051428571,60,27.78846154,1445,179.9501868,24.08333333
HH Pandya,146,9.48630137,45,18.32786885,1118,151.9021739,24.84444444
AD Mathews,133,8.233082707,28,17.65853659,724,120.8681135,25.85714286
Shoaib Malik,9,9.666666667,2,10.4,52,106.122449,26
JR Hopes,60,9.366666667,14,21.94736842,417,132.8025478,29.78571429
MP Stoinis,62,9.483870968,16,19.28,482,129.2225201,30.125
A Flintoff,11,9.636363636,2,20.66666667,62,108.7719298,31
STR Binny,99,7.747474747,28,13.36363636,882,126,31.5
Mohammad Hafeez,10,7.1,2,8,64,76.19047619,32
MJ Clarke,11,6.545454545,3,16.33333333,98,102.0833333,32.66666667
JH Kallis,291,8.068728522,74,25.54736842,2427,105.9362724,32.7972973
D Salunkhe,8,10,1,11,33,137.5,33
SR Watson,341,8.06744868,107,27.8,3614,136.9458128,33.77570093
JEC Franklin,26,8.653846154,9,20.4375,327,105.8252427,36.33333333
CJ Anderson,50,10.64,14,18.55172414,538,123.3944954,38.42857143
PD Collingwood,15,6.733333333,5,29,203,127.672956,40.6
RS Bopara,35,8.6,13,24.13636364,531,113.4615385,40.84615385
KA Pollard,202,8.836633663,67,21.09090909,2784,141.7515275,41.55223881
JDS Neesham,9,10.66666667,1,14,42,91.30434783,42
A Symonds,88,7.886363636,23,27.05555556,974,124.7119078,42.34782609
C de Grandhomme,37,9.135135135,7,14.9047619,313,136.6812227,44.71428571
R Sathish,24,9.708333333,6,11.25,270,114.4067797,45
Sachin Baby,2,4,3,13.7,137,129.245283,45.66666667
ST Jayasuriya,49,8.081632653,16,25.6,768,134.0314136,48
SD Chitnis,6,10.33333333,2,12.375,99,107.6086957,49.5
LJ Wright,12,10.41666667,2,21.2,106,168.2539683,53
JD Ryder,40,7.85,11,20.82758621,604,129.6137339,54.90909091
TM Head,9,9,3,20.5,205,135.7615894,68.33333333
YK Pathan,193,7.476683938,46,21.18300654,3241,138.8603256,70.45652174
Yuvraj Singh,146,7.479452055,39,21.94444444,2765,125.2831899,70.8974359
Y Nagar,11,11.36363636,4,14.25,285,105.1660517,71.25
PC Valthaty,26,7.961538462,7,21.95652174,505,116.8981481,72.14285714
AM Nayar,39,8.282051282,9,13.44,672,114.2857143,74.66666667
BJ Hodge,39,7.948717949,18,22.22222222,1400,121.4223764,77.77777778
LA Carseldine,1,6,1,16.2,81,114.084507,81
S Rutherford,7,9.428571429,1,11.71428571,82,149.0909091,82
GJ Maxwell,70,8.814285714,17,20.94029851,1403,155.5432373,82.52941176
R Parag,14,8.642857143,2,33.8,169,127.0676692,84.5
DR Smith,90,9.166666667,27,27.10227273,2385,132.2795341,88.33333333
JP Duminy,115,7.365217391,23,27.21333333,2041,121.4880952,88.73913043
DJ Hooda,38,8.368421053,6,11.88888889,535,124.1299304,89.16666667
Gurkeerat Singh,13,7.461538462,5,16.51851852,446,126.3456091,89.2
TL Suman,25,7.92,7,17.33333333,676,115.1618399,96.57142857
RN ten Doeschate,13,7.230769231,3,15.52380952,326,136.9747899,108.6666667
KP Pietersen,29,7.517241379,9,27.80555556,1001,132.0580475,111.2222222
SC Ganguly,46,8.043478261,12,24.08928571,1349,101.73454,112.4166667
D Short,3,9,1,17.57142857,123,120.5882353,123
DJ Hussey,53,9.150943396,10,21.67213115,1322,120.0726612,132.2
AL Menaria,19,7.578947368,3,17.43478261,401,109.2643052,133.6666667
Y Venugopal Rao,36,9.388888889,7,18.94230769,985,113.8728324,140.7142857
S Vidyut,2,11,1,18.125,145,126.0869565,145
N Rana,16,7.75,7,26.92682927,1104,132.2155689,157.7142857
SK Raina,155,7.348387097,30,28.65079365,5415,133.9020772,180.5
AC Voges,9,8.444444444,1,25.85714286,181,126.5734266,181
FY Fazal,2,10,1,16.63636364,183,102.2346369,183
AA Jhunjhunwala,15,8.666666667,1,14.46666667,217,99.5412844,217
TM Dilshan,46,8,5,23.06,1153,110.1241643,230.6
CH Gayle,92,8.152173913,19,36.77419355,4560,145.6403705,240
GH Vihari,6,6.5,1,13.33333333,280,86.6873065,280
V Shankar,14,11,2,21.25925926,574,133.7995338,287
RG Sharma,56,8.017857143,16,27,4914,128.7735849,307.125
DB Ravi Teja,3,9.333333333,1,15,375,115.3846154,375
V Sehwag,23,10.26086957,6,26.23076923,2728,148.8270595,454.6666667
CL White,7,12.28571429,1,21.57777778,971,125.4521964,971
LMP Simmons,3,11.33333333,1,37.20689655,1079,122.8929385,1079
V Kohli,43,8.627906977,5,32.15384615,5434,129.0429827,1086.8
S Dhawan,8,9,4,29.3164557,4632,122.6694915,1158
MK Tiwary,7,12.28571429,1,20.44578313,1697,113.9691068,1697
AJ Finch,8,8.375,1,23.89041096,1744,127.1137026,1744
AC Gilchrist,1,0,1,25.8625,2069,133.0546624,2069
AM Rahane,1,5,1,29.16666667,3850,119.7511664,3850
SR Tendulkar,6,9.833333333,0,29.92307692,2334,114.1878669,inf
SA Yadav,1,8,0,14.47619048,608,126.9311065,inf
SA Abbott,5,11.4,0,7.5,15,115.3846154,inf
I Malhotra,1,23,0,7,7,175,inf
S Sriram,3,16.33333333,0,15.5,31,81.57894737,inf
VS Yeligati,5,12.2,0,2,2,100,inf
S Dube,2,4.5,0,10,40,121.2121212,inf
KAJ Roach,8,10,0,10,10,111.1111111,inf
S Rana,3,6,0,11.375,91,110.9756098,inf
Y Gnaneswara Rao,1,7,0,19,19,105.5555556,inf
NJ Rimmington,3,6.666666667,0,1,1,100,inf
K Upadhyay,9,9,0,6,12,133.3333333,inf
NL McCullum,5,7,0,13,26,113.0434783,inf
P R Barman,4,14,0,20,20,80,inf
A Dananjaya,4,12,0,4,4,80,inf
Mandeep Singh,2,13,0,18.63855422,1547,123.3652313,inf
AS Raut,5,9,0,12.125,194,112.7906977,inf
AUK Pathan,7,9,0,5.571428571,39,150,inf
H Vihari,1,9,0,2,4,50,inf
LPC Silva,1,21,0,13.33333333,40,148.1481481,inf
DJ Harris,3,8.666666667,0,27.75,111,107.7669903,inf
SN Khan,1,6,0,18.90909091,416,142.9553265,inf
LRPL Taylor,2,12,0,18.83333333,1017,120.0708383,inf
RS Gavaskar,1,8,0,2,2,25,inf
F du Plessis,1,16,0,29.28125,1874,125.0166778,inf
CK Kapugedera,3,16.33333333,0,5.333333333,16,66.66666667,inf
M Lomror,3,9,0,9.333333333,28,116.6666667,inf
L Livingstone,1,13,0,18,72,150,inf
M Manhas,7,6,0,13.52631579,514,105.7613169,inf
RA Tripathi,1,12,0,23.36363636,771,135.0262697,inf
C Munro,2,7.5,0,16.36363636,180,125,inf
M Vijay,6,8.166666667,0,25.39215686,2590,119.6857671,inf
BJ Rohrer,1,12,0,24.125,193,132.1917808,inf
KS Williamson,1,7,0,32.17073171,1319,134.4546381,inf
M Wood,4,13,0,3,3,60,inf
R Salam,4,11.25,0,5,5,125,inf
B Chipli,1,20,0,13.33333333,280,109.375,inf
H Brar,5,9.6,0,22,22,157.1428571,inf
SPD Smith,1,5,0,28.43055556,2047,126.6707921,inf
K Goel,11,8.545454545,0,13.625,218,91.21338912,inf
A Nel,3,10.33333333,1,,,,
A Roy,2,7,1,,,,
AA Kazi,2,10.5,1,,,,
AM Salvi,25,8.2,7,,,,
Abdur Razzak,2,14.5,0,0,0,0,
Anand Rajan,25,8.24,10,,,,
B Geeves,8,11.375,2,,,,
BW Hilfenhaus,62,8.016129032,23,,,,
C Ganapathy,1,13,0,,,,
D Willey,10,9.8,2,,,,
GS Sandhu,8,10.75,1,,,,
Gagandeep Singh,14,10.14285714,3,,,,
Harmeet Singh (2),4,8.5,1,,,,
J Behrendorff,19,9.157894737,5,,,,
J Dala,3,11.66666667,0,,,,
JW Hastings,10,6.6,3,,,,
K Khejroliya,16,10.375,3,,,,
K Santokie,8,11.375,3,,,,
KM Asif,6,12.83333333,3,,,,
L Ferguson,17,11.29411765,2,,,,
L Ngidi,26,6.730769231,13,,,,
MB Parmar,3,11,0,,,,
MG Neser,4,15.5,0,,,,
MJ Henry,5,14.2,2,,,,
NB Singh,4,4.5,1,,,,
O Thomas,10,9.4,5,,,,
P Amarnath,22,10.95454545,7,,,,
P Prasanth,1,18,0,,,,
P Suyal,16,9.625,2,,,,
RA Shaikh,1,11,0,,,,
RR Bhatkal,2,17.5,0,0,0,0,
RR Bose,2,12,0,,,,
RW Price,3,11,0,,,,
S Kuggeleijn,8,9.125,2,,,,
S Midhun,2,16,0,,,,
S Warrier,12,7.333333333,2,,,,
SM Boland,7,8,3,,,,
SS Agarwal,4,10.5,1,,,,
SS Mundhe,1,6,1,,,,
SS Sarkar,5,6.8,1,,,,
Sunny Gupta,3,15.66666667,0,0,0,0,
T Natarajan,13,8.923076923,2,,,,
T Shamsi,16,9.4375,3,,,,
TP Sudhindra,12,11.41666667,1,,,,
Tejas Baroka,4,8.25,0,,,,
V Chakravarthy,3,11.66666667,1,,,,
J Bairstow,,,,46.8,468,159.7269625,
DA Warner,,,,37.62698413,4741,139.523249,
SE Marsh,,,,36.07246377,2489,130.1097752,
HM Amla,,,,36.0625,577,138.0382775,
KL Rahul,,,,34.70689655,2013,137.4061433,
ML Hayden,,,,34.59375,1107,131.942789,
MEK Hussey,,,,34.0862069,1977,119.9635922,
MN van Wyk,,,,33.4,167,123.7037037,
RR Pant,,,,33.18518519,1792,162.3188406,
CA Lynn,,,,31.90243902,1308,139.2971246,
JC Buttler,,,,31.8,1431,150,
AB de Villiers,,,,31.18309859,4428,148.7403426,
Q de Kock,,,,29.78,1489,131.0739437,
N Pooran,,,,29.5,177,160.9090909,
E Lewis,,,,29,464,135.2769679,
AS Yadav,,,,28.88571429,1011,133.0263158,
SS Iyer,,,,28.09836066,1714,125.1094891,
G Gambhir,,,,27.96688742,4223,119.8354143,
Salman Butt,,,,27.57142857,193,112.2093023,
