batsman,values819,values1617,values1819
MA Khote,0.152883851,0,0
WPUJC Vaas,0.152876618,0,0
C Madan,0.152494936,0,0
DM Bravo,0.152322477,0.159996272,0
DNT Zoysa,0.151984775,0,0
CJ Ferguson,0.151430998,0,0
M Kartik,0.150604252,0,0
MA Starc,0.148508016,0,0
DL Vettori,0.147890045,0,0
RR Powar,0.147070677,0,0
R Bishnoi,0.14662989,0,0
MDKJ Perera,0.145825445,0,0
Iqbal Abdulla,0.14435581,0.218757207,0
VRV Singh,0.144241983,0,0
CRD Fernando,0.144100206,0,0
DS Lehmann,0.143655854,0,0
KW Richardson,0.141744106,0.112284177,0
AD Mascarenhas,0.141130573,0,0
B Sumanth,0.140091912,0,0
SK Warne,0.139984157,0,0
J Syed Mohammad,0.139614613,0,0
R Rampaul,0.139068322,0,0
JJ van der Wath,0.138715588,0,0
RJ Harris,0.138456036,0,0
J Arunkumar,0.138029159,0,0
DW Steyn,0.137598718,0.058731979,0
IR Jaggi,0.136858907,0.176582763,0
RJ Peterson,0.135582437,0,0
DT Patil,0.135160241,0,0
AG Paunikar,0.135141054,0,0
Yashpal Singh,0.134803696,0,0
A Mukund,0.133952499,0,0
S Aravind,0.133870823,0.11667557,0
AA Bilakhia,0.133456738,0,0
RR Raje,0.133302142,0,0
F Behardien,0.133219281,0.14123503,0
AC Thomas,0.132800819,0,0
KB Arun Karthik,0.132550049,0,0
NJ Maddinson,0.131880803,0,0
NS Naik,0.131845651,0.135688219,0
AA Chavan,0.131010322,0,0
D du Preez,0.130582914,0,0
L Ronchi,0.130096971,0,0
GB Hogg,0.13002674,0,0
DJ Thornely,0.128787426,0,0
RT Ponting,0.128295976,0,0
BMAJ Mendis,0.126686378,0,0
RV Gomez,0.126125703,0,0
NM Coulter-Nile,0.125926709,0.119834213,0
SB Jakati,0.124326235,0.058731979,0
SB Bangar,0.123888969,0,0
AA Noffke,0.12343658,0,0
Mohammad Hafeez,0.121955865,0,0
S Chanderpaul,0.121452438,0,0
DE Bollinger,0.120214885,0,0
A Chopra,0.120172599,0,0
CA Ingram,0.119092944,0,0
VS Malik,0.11899568,0,0
SS Shaikh,0.118046264,0,0
MM Patel,0.114099674,0,0
SW Tait,0.11395091,0,0
SL Malinga,0.113060418,0.269607424,0
Harpreet Singh,0.11302243,0,0
WA Mota,0.112889547,0,0
X Thalaivan Sargunam,0.112502369,0,0
Z Khan,0.11097045,0.053009474,0
Mashrafe Mortaza,0.110725317,0,0
RG More,0.110725317,0,0
VS Yeligati,0.110725317,0,0
CK Langeveldt,0.110674555,0,0
WD Parnell,0.10927134,0,0
R Shukla,0.108720345,0,0
Parvez Rasool,0.108247875,0.171114665,0
Vishnu Vinod,0.107751943,0.114029134,0
M Rawat,0.107420794,0,0
R Sharma,0.107253554,0,0
SJ Srivastava,0.106788366,0,0
AN Ghosh,0.106500431,0,0
MS Wade,0.106397333,0,0
DP Vijaykumar,0.105360283,0,0
LH Ferguson,0.105360283,0.112284177,0
NJ Rimmington,0.105360283,0,0
BA Bhatt,0.102111765,0,0
T Henderson,0.098636949,0,0
CJ McKay,0.096282106,0,0
CK Kapugedera,0.095560401,0,0
S Tyagi,0.091095101,0,0
GD McGrath,0.090918151,0,0
FH Edwards,0.090776374,0,0
J Theron,0.090660588,0,0
Ankit Soni,0.090641908,0.097136288,0
AG Murtaza,0.0896224,0,0
SM Harwood,0.088551557,0,0
L Balaji,0.088204647,0,0
M Ntini,0.087846572,0,0
TS Mills,0.087399933,0.09352204,0
