batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's,values1617
AF Milne,2.333333333,0,0,0,0,12,7,58.33333333,0,0.075021361
Imran Tahir,2.5,1,0,0,0,9,5,55.55555556,0,0.073198854
CJ Jordan,1.5,0,0,0,0,5,3,60,0,0.072175356
S Badree,2.6,0,0,0,0,25,13,52,0,0.070241711
J Yadav,3,0,0,0,0,12,6,50,0,0.069408404
YS Chahal,2.166666667,0,0,0,0,26,13,50,0,0.065919282
SB Jakati,1,0,0,0,0,2,1,50,0,0.058731979
DW Steyn,1,0,0,0,0,2,1,50,0,0.058731979
PJ Sangwan,0.666666667,0,0,0,0,4,2,50,0,0.057146213
JD Unadkat,2,0,0,0,0,5,2,40,0,0.053216706
Z Khan,2,1,0,0,0,26,10,38.46153846,0,0.053009474
VR Aaron,2,0,0,0,0,11,4,36.36363636,0,0.049570305
S Nadeem,0.75,0,0,0,0,14,3,21.42857143,0,0.027216282
S Gopal,2,0,0,0,0,16,2,12.5,0,0.023963959
UBT Chand,0,0,0,0,0,5,0,0,0,7.69E-05
SN Thakur,0,0,0,0,0,3,0,0,0,3.85E-05
S Kaul,0,0,0,0,0,2,0,0,0,1.92E-05
MM Patel,0,0,0,0,0,1,0,0,0,0
S Kaushik,0,0,0,0,0,1,0,0,0,0
M Ashwin,0,0,0,0,0,1,0,0,0,0
