batsman,No.of balls,fours,sixes
S Randiv,6,0,0
S Sohal,552,34,18
S Sreesanth,120,7,0
S Sriram,78,3,0
S Tyagi,12,0,0
S Vidyut,210,22,3
SA Abbott,30,1,1
SA Asnodkar,702,59,10
SA Yadav,1050,53,21
SB Bangar,144,1,3
SB Jakati,66,3,0
SB Joshi,36,0,0
SB Styris,312,11,3
SB Wagh,12,0,0
SC Ganguly,2532,138,41
SD Chitnis,234,10,1
SE Bond,12,0,0
SE Marsh,3780,274,77
SJ Srivastava,24,0,0
SK Raina,6948,401,173
SK Trivedi,168,3,1
SK Warne,486,14,6
SL Malinga,252,6,5
SM Harwood,30,0,0
SM Katich,378,26,8
SM Pollock,234,12,8
SMSM Senanayake,48,0,0
SN Khan,228,19,6
SN Thakur,30,1,0
SP Fleming,330,26,3
SP Goswami,492,26,2
SP Jackson,72,5,0
SP Narine,402,36,12
SPD Smith,2718,151,43
SR Tendulkar,4050,300,29
SR Watson,3858,259,122
SS Iyer,1242,79,32
SS Shaikh,18,1,0
SS Tiwary,2328,93,45
ST Jayasuriya,1002,85,38
STR Binny,1362,59,29
SV Samson,2382,112,57
SW Billings,378,24,5
SW Tait,78,1,1
Sachin Baby,252,11,5
Salman Butt,288,30,2
Sandeep Sharma,102,1,0
Shahid Afridi,132,7,6
Shakib Al Hasan,894,46,15
Shivam Sharma,12,1,0
Shoaib Ahmed,18,0,0
Shoaib Akhtar,24,0,0
Shoaib Malik,120,5,0
Sohail Tanvir,78,3,1
Sunny Gupta,6,0,0
Sunny Singh,84,6,1
Swapnil Singh,48,0,0
T Henderson,36,0,1
T Kohli,48,0,1
T Taibu,60,3,0
T Thushara,42,0,0
TA Boult,12,0,0
TD Paine,60,0,0
TG Southee,96,3,3
TL Suman,1200,55,26
TM Dilshan,2094,139,24
TM Head,354,12,8
TM Srivastava,30,0,0
TR Birt,120,9,2
TS Mills,30,0,1
U Kaul,6,0,0
UA Birla,30,1,0
UBT Chand,648,32,9
UT Khawaja,204,14,3
UT Yadav,252,8,3
Umar Gul,54,2,5
V Kohli,6882,388,159
V Pratap Singh,6,0,0
V Sehwag,3522,340,105
V Shankar,168,12,1
VH Zol,66,3,1
VR Aaron,126,2,2
VRV Singh,12,1,0
VS Malik,24,1,0
VS Yeligati,6,0,0
VVS Laxman,594,34,4
VY Mahesh,60,0,0
Vishnu Vinod,60,1,1
W Jaffer,234,14,3
WA Mota,198,3,0
WD Parnell,180,5,1
WP Saha,2562,131,57
WPUJC Vaas,174,2,2
Washington Sundar,36,0,0
X Thalaivan Sargunam,30,0,0
Y Gnaneswara Rao,30,3,0
Y Nagar,570,20,9
Y Venugopal Rao,1770,77,37
YA Abdulla,6,0,0
YK Pathan,4254,242,149
YS Chahal,72,0,0
YV Takawale,336,27,3
Yashpal Singh,120,5,0
Younis Khan,18,0,0
Yuvraj Singh,4056,204,141
Z Khan,324,11,2
