batsman,no of balls,batsman_runs,SRR,avg.runs,50's,100's,fours,sixes,30's,value
DT Christian,0.100200401,0.092348285,0.512820513,0.364136447,0,0,0.044806517,0.0651341,0.031746032,0.244437908
M Manhas,0.138849127,0.113016711,0.453262787,0.363543242,0,0,0.089613035,0.038314176,0.079365079,0.242160416
P Negi,0.081019181,0.077616535,0.532696177,0.327154773,0,0,0.057026477,0.061302682,0.047619048,0.24179089
Y Gnaneswara Rao,0.004866877,0.004177661,0.452380952,0.510658017,0,0,0.00610998,0,0,0.241733094
RS Sodhi,0.000286287,0.000879507,0.857142857,0.107506951,0,0,0.00203666,0,0,0.241408878
TR Birt,0.016604638,0.016490765,0.544794189,0.403151066,0,0,0.018329939,0.007662835,0,0.240916941
Sachin Baby,0.03006012,0.030123131,0.553908356,0.368211307,0,0,0.022403259,0.019157088,0.015873016,0.2401176
SP Narine,0.054967077,0.059586631,0.601776462,0.242786531,0.025641026,0,0.073319756,0.045977011,0.063492063,0.239856633
FY Fazal,0.050959061,0.040237467,0.438148444,0.447131182,0,0,0.046843177,0.003831418,0.047619048,0.238734858
LA Carseldine,0.02004008,0.017810026,0.488933602,0.435403151,0,0,0.022403259,0,0.015873016,0.23780338
AP Tare,0.081305468,0.074538259,0.509774436,0.337452374,0.025641026,0,0.083503055,0.042145594,0.031746032,0.237306623
DB Das,0.076152305,0.066842568,0.487961477,0.371387648,0,0,0.046843177,0.061302682,0.031746032,0.236869809
R Tewatia,0.006584598,0.00769569,0.625,0.31356194,0,0,0.00814664,0.003831418,0,0.2364401
I Malhotra,0.000858861,0.001539138,0.75,0.188137164,0,0,0.00203666,0,0,0.234858132
BB Samantray,0.032922989,0.027484609,0.46182266,0.419949027,0.025641026,0,0.026476578,0.007662835,0.031746032,0.233406635
VVS Laxman,0.077297452,0.062005277,0.445967317,0.378962002,0.025641026,0,0.069246436,0.01532567,0.063492063,0.233032337
LR Shukla,0.102204409,0.089050132,0.484836393,0.329850872,0,0,0.067209776,0.061302682,0.047619048,0.23283078
AB McDonald,0.02920126,0.027044855,0.511789182,0.367315416,0,0,0.018329939,0.01532567,0.031746032,0.231303116
MD Mishra,0.060692814,0.052110818,0.476861167,0.374693344,0,0,0.052953157,0.030651341,0.031746032,0.231298189
W Jaffer,0.036644718,0.028583993,0.431893688,0.436746988,0.025641026,0,0.028513238,0.011494253,0.031746032,0.230748361
