player,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,avg.strike rate
Iqbal Abdulla,0.166666667,,0.166666667,0.583333333,0.166666667,0.283333333,,0.4,0.708333333,0.277777778,0.344097222
DJ Thornely,0.343998016,,,,,,,,,,0.343998016
CRD Fernando,0.333333333,,0.333333333,,,,,,,,0.333333333
D du Preez,,0.333333333,,,,,,,,,0.333333333
GD McGrath,0.333333333,,,,,,,,,,0.333333333
JE Taylor,,,,0.333333333,,,,,,,0.333333333
M Ntini,0.333333333,,,,,,,,,,0.333333333
Mashrafe Mortaza,,0.333333333,,,,,,,,,0.333333333
Mohammad Nabi,,,,,,,,,,0.333333333,0.333333333
RG More,,,,,,,,0.333333333,,,0.333333333
S Randiv,,,,0.333333333,,,,,,,0.333333333
SB Jakati,,0.583333333,,,0.25,,,,0.166666667,,0.333333333
SS Shaikh,,0.333333333,,,,,,,,,0.333333333
VS Yeligati,0.333333333,,,,,,,,,,0.333333333
X Thalaivan Sargunam,,,,,,0.333333333,,,,,0.333333333
R Sharma,,,0.777777778,0.275,0.125,0.148148148,,,,,0.331481481
WD Parnell,,,,0.388888889,0.313333333,0.277777778,0.333333333,,,,0.328333333
DJ Jacobs,,,,0.573148148,0.083333333,,,,,,0.328240741
SB Bangar,0.447222222,0.208333333,,,,,,,,,0.327777778
IR Jaggi,,,,0.325,0.296296296,,,,,0.35,0.323765432
RE Levi,,,,,0.319444444,,,,,,0.319444444
A Kumble,0.423611111,0.300925926,0.233333333,,,,,,,,0.319290123
CA Ingram,,,,0.316666667,,,,,,,0.316666667
