match_id,bowler,over,total_runs
12,HH Pandya,10,4
12,HH Pandya,12,5
12,Harbhajan Singh,2,1
12,Harbhajan Singh,5,6
12,Harbhajan Singh,7,9
12,Harbhajan Singh,9,9
12,JJ Bumrah,8,3
12,JJ Bumrah,14,19
12,JJ Bumrah,18,8
12,JJ Bumrah,20,10
12,KH Pandya,11,5
12,KH Pandya,13,9
12,KH Pandya,15,6
12,KH Pandya,17,5
12,MJ McClenaghan,4,4
12,MJ McClenaghan,6,7
12,MJ McClenaghan,16,4
12,MJ McClenaghan,19,5
12,P Negi,14,10
12,P Negi,16,19
12,S Aravind,4,2
12,S Aravind,9,4
12,S Aravind,13,5
12,S Aravind,17,10
12,S Badree,1,4
12,S Badree,3,1
12,S Badree,6,3
12,S Badree,8,2
12,STR Binny,2,3
12,STR Binny,12,11
12,TG Southee,1,6
12,TG Southee,3,17
12,TS Mills,5,8
12,TS Mills,11,6
12,TS Mills,15,11
12,TS Mills,19,12
12,YS Chahal,7,10
12,YS Chahal,10,11
12,YS Chahal,18,13
13,AJ Tye,6,4
13,AJ Tye,13,4
13,AJ Tye,18,6
13,AJ Tye,20,4
13,Ankit Sharma,1,16
13,BA Stokes,5,2
13,BA Stokes,11,6
13,BA Stokes,15,10
13,Basil Thampi,2,9
13,Basil Thampi,8,3
13,Basil Thampi,16,9
13,DR Smith,10,5
13,DR Smith,12,5
13,Imran Tahir,6,15
13,Imran Tahir,8,20
13,Imran Tahir,13,5
13,Imran Tahir,16,13
13,LH Ferguson,2,11
13,LH Ferguson,4,11
13,LH Ferguson,10,2
13,LH Ferguson,18,21
13,P Kumar,1,6
13,P Kumar,3,8
13,P Kumar,5,25
13,P Kumar,19,12
13,RA Jadeja,7,9
13,RA Jadeja,9,11
13,RA Jadeja,15,6
13,RA Jadeja,17,14
13,RD Chahar,7,10
13,RD Chahar,12,5
13,RD Chahar,14,11
13,SB Jakati,4,12
13,SB Jakati,14,10
13,SK Raina,11,9
13,SN Thakur,3,6
13,SN Thakur,9,3
13,SN Thakur,17,5
14,A Nehra,2,6
14,A Nehra,4,6
14,A Nehra,13,14
14,A Nehra,19,9
14,B Kumar,1,3
14,B Kumar,3,5
14,B Kumar,18,4
14,B Kumar,20,9
14,BCJ Cutting,5,13
14,BCJ Cutting,7,7
14,BCJ Cutting,15,7
14,BCJ Cutting,17,14
14,Bipul Sharma,10,8
14,Bipul Sharma,16,12
14,CR Woakes,11,11
14,CR Woakes,15,15
14,CR Woakes,17,13
14,CR Woakes,19,11
14,Kuldeep Yadav,6,6
14,Kuldeep Yadav,8,1
14,Kuldeep Yadav,10,6
14,Kuldeep Yadav,12,10
14,MC Henriques,9,14
14,MC Henriques,11,12
14,Rashid Khan,6,7
14,Rashid Khan,8,6
14,Rashid Khan,12,7
14,Rashid Khan,14,9
14,SP Narine,5,7
14,SP Narine,9,5
14,SP Narine,14,3
14,SP Narine,16,3
14,TA Boult,2,5
14,TA Boult,4,13
14,TA Boult,18,3
14,TA Boult,20,12
14,UT Yadav,1,5
14,UT Yadav,3,9
14,UT Yadav,13,15
14,YK Pathan,7,2
15,A Mishra,9,4
15,A Mishra,11,8
15,A Mishra,13,4
15,AR Patel,4,5
15,AR Patel,11,7
15,AR Patel,13,6
15,AR Patel,19,16
15,CH Morris,5,7
15,CH Morris,7,7
15,CH Morris,18,6
15,CH Morris,20,3
15,CJ Anderson,12,9
15,CJ Anderson,14,5
15,CJ Anderson,16,9
15,GJ Maxwell,14,7
15,KC Cariappa,7,6
15,KC Cariappa,9,7
15,KC Cariappa,15,10
15,MM Sharma,2,9
15,MM Sharma,6,8
15,MM Sharma,12,7
15,MM Sharma,17,13
15,PJ Cummins,6,7
15,PJ Cummins,8,2
15,PJ Cummins,10,11
15,PJ Cummins,19,4
15,S Nadeem,2,4
15,S Nadeem,4,9
15,Sandeep Sharma,1,8
15,Sandeep Sharma,3,5
15,Sandeep Sharma,18,9
15,Sandeep Sharma,20,19
15,VR Aaron,5,14
15,VR Aaron,8,9
15,VR Aaron,10,12
15,VR Aaron,16,11
15,Z Khan,1,2
15,Z Khan,3,11
15,Z Khan,15,13
15,Z Khan,17,12
16,AJ Tye,6,9
16,AJ Tye,10,4
16,AJ Tye,17,13
16,AJ Tye,19,9
16,Basil Thampi,2,8
16,Basil Thampi,5,15
16,Basil Thampi,13,5
16,Basil Thampi,18,6
16,DR Smith,15,13
16,HH Pandya,15,15
16,Harbhajan Singh,4,3
16,Harbhajan Singh,8,9
16,Harbhajan Singh,10,8
16,Harbhajan Singh,12,2
16,JJ Bumrah,5,7
16,JJ Bumrah,13,10
16,JJ Bumrah,17,19
16,JJ Bumrah,20,10
16,KH Pandya,7,3
16,KH Pandya,9,9
16,KH Pandya,11,6
16,MJ McClenaghan,1,3
16,MJ McClenaghan,3,6
16,MJ McClenaghan,16,6
16,MJ McClenaghan,18,9
16,MM Patel,4,7
16,MM Patel,8,7
16,MM Patel,12,9
16,MM Patel,14,13
16,P Kumar,1,6
16,P Kumar,3,11
