batsman,avg.runs,4's,6's,50's,100's,no of balls,batsman_runs,strike,30's
RJ Quiney,14.71428571,13,3,1,0,105,103,98.0952381,1
Misbah-ul-Haq,14.625,10,6,0,0,82,117,142.6829268,2
J Botha,14.60714286,39,5,1,0,364,409,112.3626374,4
Mohammad Nabi,14.6,11,7,0,0,95,146,153.6842105,1
JA Morkel,14.55223881,61,54,3,0,712,975,136.9382022,7
VH Zol,14.5,3,1,0,0,26,29,111.5384615,0
SA Yadav,14.47619048,53,21,1,0,479,608,126.9311065,6
AA Jhunjhunwala,14.46666667,20,5,1,0,218,217,99.5412844,2
Y Nagar,14.25,20,9,0,0,271,285,105.1660517,1
NLTC Perera,14.13333333,26,26,0,0,326,424,130.0613497,5
BCJ Cutting,14.11764706,15,19,0,0,146,240,164.3835616,2
VVS Laxman,14.1,34,4,1,0,271,282,104.0590406,4
CH Morris,14.05405405,37,26,2,0,339,520,153.3923304,5
IK Pathan,14.02439024,94,38,1,0,985,1150,116.751269,10
JDS Neesham,14,3,1,0,0,46,42,91.30434783,0
AB Barath,14,5,1,0,0,43,42,97.6744186,1
MD Mishra,13.94117647,26,8,0,0,213,237,111.2676056,2
RE Levi,13.83333333,10,4,0,0,74,83,112.1621622,1
DB Das,13.81818182,23,16,0,0,267,304,113.8576779,2
Sachin Baby,13.7,11,5,0,0,106,137,129.245283,1
AB McDonald,13.66666667,9,4,0,0,103,123,119.4174757,2
K Goel,13.625,17,9,0,0,239,218,91.21338912,1
M Manhas,13.52631579,44,10,0,0,486,514,105.7613169,5
AM Nayar,13.44,57,20,0,0,588,672,114.2857143,6
CR Brathwaite,13.42857143,10,16,0,0,120,188,156.6666667,2
STR Binny,13.36363636,66,35,0,0,700,882,126,10
LPC Silva,13.33333333,5,1,0,0,27,40,148.1481481,0
B Chipli,13.33333333,29,7,1,0,256,280,109.375,2
BR Dunk,13.33333333,7,0,0,0,36,40,111.1111111,0
GH Vihari,13.33333333,23,1,0,0,323,280,86.6873065,3
